file,title,raw_tokens,wiki_tokens,delta,reduction_pct,missing_code_refs
_llm-test.md,LLM test file,2810,2736,-74,2.63,0
advanced/additional-responses.md,Additional Responses in OpenAPI,2262,2877,615,-27.19,0
advanced/additional-status-codes.md,Additional Status Codes,500,723,223,-44.6,0
advanced/advanced-dependencies.md,Advanced Dependencies,2312,3694,1382,-59.78,0
advanced/advanced-python-types.md,Advanced Python Types,518,577,59,-11.39,0
advanced/async-tests.md,Async Tests,959,1289,330,-34.41,0
advanced/behind-a-proxy.md,Behind a Proxy,4047,4244,197,-4.87,0
advanced/custom-response.md,"Custom Response - HTML, Stream, File, others",2822,3680,858,-30.4,0
advanced/dataclasses.md,Using Dataclasses,1024,1561,537,-52.44,0
advanced/events.md,Lifespan Events,1992,2684,692,-34.74,0
advanced/generate-clients.md,Generating SDKs,2176,2654,478,-21.97,0
advanced/index.md,Advanced User Guide,189,224,35,-18.52,0
advanced/json-base64-bytes.md,JSON with Bytes as Base64,618,1256,638,-103.24,0
advanced/middleware.md,Advanced Middleware,1050,1258,208,-19.81,0
advanced/openapi-callbacks.md,OpenAPI Callbacks,1964,3279,1315,-66.96,0
advanced/openapi-webhooks.md,OpenAPI Webhooks,737,927,190,-25.78,0
advanced/path-operation-advanced-configuration.md,Path Operation Advanced Configuration,1780,2636,856,-48.09,0
advanced/response-change-status-code.md,Response - Change Status Code,389,519,130,-33.42,0
advanced/response-cookies.md,Response Cookies,557,743,186,-33.39,0
advanced/response-directly.md,Return a Response Directly,1034,1393,359,-34.72,0
advanced/response-headers.md,Response Headers,550,726,176,-32.0,0
advanced/security/http-basic-auth.md,HTTP Basic Auth,1279,1932,653,-51.06,0
advanced/security/oauth2-scopes.md,OAuth2 scopes,3442,14317,10875,-315.95,0
advanced/settings.md,Settings and Environment Variables,2952,3671,719,-24.36,0
advanced/stream-data.md,Stream Data,1372,10672,9300,-677.84,0
advanced/strict-content-type.md,Strict Content-Type Checking,822,941,119,-14.48,0
advanced/sub-applications.md,Sub Applications - Mounts,739,882,143,-19.35,0
advanced/templates.md,Templates,853,1000,147,-17.23,0
advanced/testing-dependencies.md,Testing Dependencies with Overrides,603,985,382,-63.35,0
advanced/testing-events.md,Testing Events: lifespan and startup - shutdown,156,588,432,-276.92,0
advanced/testing-websockets.md,Testing WebSockets,101,302,201,-199.01,0
advanced/using-request-directly.md,Using the Request Directly,584,667,83,-14.21,0
advanced/websockets.md,WebSockets,1348,3598,2250,-166.91,0
advanced/wsgi.md,"Including WSGI - Flask, Django, others",369,514,145,-39.3,0
async.md,Concurrency and async / await,5921,5510,-411,6.94,0
deployment/cloud.md,Deploy FastAPI on Cloud Providers,297,316,19,-6.4,0
deployment/concepts.md,Deployments Concepts,4722,4613,-109,2.31,0
deployment/docker.md,FastAPI in Containers - Docker,7209,7051,-158,2.19,0
deployment/fastapicloud.md,FastAPI Cloud,434,457,23,-5.3,0
deployment/https.md,About HTTPS,3575,3430,-145,4.06,0
deployment/index.md,Deployment,379,397,18,-4.75,0
deployment/manually.md,Run a Server Manually,1647,1409,-238,14.45,0
deployment/server-workers.md,Server Workers - Uvicorn with Workers,2092,1501,-591,28.25,0
deployment/versions.md,About FastAPI versions,877,929,52,-5.93,0
editor-support.md,Editor Support,629,665,36,-5.72,0
